Date,Open,High,Low,Close,Volume
1/19/2018,193,193.3,192.13,193.19,4950000000
1/18/2018,193.1,194,192.19,192.85,8110000000
1/17/2018,191.55,192.79,191.28,192.79,5500000000
1/16/2018,190.39,191.76,190.23,191.76,4710000000
1/15/2018,189.97,190.42,189.38,190,4880000000
1/12/2018,190.22,190.87,189.25,189.61,5880000000
1/11/2018,190.19,190.46,189.29,190.41,7820000000
1/10/2018,190.23,191.48,189.68,190.12,3960000000
1/9/2018,190.5,190.79,189.51,189.93,4500000000
1/8/2018,189.35,190.47,189.09,190.47,3970000000
1/5/2018,187.23,189.49,187.14,189.49,3730000000
1/4/2018,186.69,187.53,186.15,187.53,3510000000
1/3/2018,189.79,189.9,185.79,186.67,2920000000
1/2/2018,190.06,191.87,189.02,189.73,3230000000
12/29/2017,188.24,189.98,188.23,189.86,3750000000
12/28/2017,187.48,188.05,186.62,188.05,3470000000
12/27/2017,186.09,187.29,186.09,187.29,2870000000
12/22/2017,185.59,186.3,185.4,186.3,2780000000
12/21/2017,184.08,185.75,184.01,185.54,3480000000
12/20/2017,185.45,185.81,183.38,183.63,3270000000
12/19/2017,183.92,185.57,183.82,185.57,3130000000
12/18/2017,184.65,184.89,182.95,184.5,2670000000
12/15/2017,183.62,184.86,182.96,184.86,3170000000
12/14/2017,182.04,184.09,181.82,184.09,4290000000
12/13/2017,180.63,181.59,180.59,181.59,3250000000
12/12/2017,180.29,180.66,179.97,180.66,3440000000
12/11/2017,180.57,181.06,180,180,3110000000
12/8/2017,180.03,180.85,180.03,180.59,3620000000
12/7/2017,179.98,180.76,179.87,180.24,3430000000
12/6/2017,179.08,180.26,179.08,180,3640000000
12/5/2017,180.65,181,179.1,179.33,4240000000
12/4/2017,181.17,181.49,180.34,180.34,3850000000
11/30/2017,182.87,183.07,180.16,180.16,7020000000
11/29/2017,182.37,183.15,182.2,183.15,4570000000
11/28/2017,183.22,183.37,181.68,182.6,4050000000
11/27/2017,184,184.29,182.63,183.67,4440000000
11/24/2017,183.83,184.09,183.2,184.09,4130000000
11/23/2017,184.29,184.53,183.72,183.91,4330000000
11/22/2017,182.99,184.04,182.97,183.89,4090000000
11/21/2017,183.76,184.3,182.21,182.81,4030000000
11/20/2017,184.82,185.08,183.63,183.63,4110000000
