Date, Open,High, Low, Close, Volume
13-May-11,122.74,123.28,122.61,122.95,3.40B
16-May-11,122.94,122.94,121.59,122.03,1.71B
18-May-11,122.08,123.59,122.07,123.46,1.82B
19-May-11,123.48,124.16,123.44,123.81,1.63B
20-May-11,123.82,124.84,123.82,124.84,1.40B
23-May-11,124.78,124.78,121.55,122,1.99B
24-May-11,121.99,122.25,121.47,122.07,2.23B
25-May-11,122.04,122.04,121.31,121.86,1.94B
26-May-11,121.87,123.44,121.87,123.23,1.53B
27-May-11,123.22,124.1,122.31,123.91,1.05B
30-May-11,123.84,123.99,123.15,123.44,1.11B
31-May-11,123.45,123.94,123.05,123.81,2.45B
1-Jun-11,123.83,124.66,123.63,124.19,3.25B
3-Jun-11,124.18,124.18,123.27,123.95,1.72B
6-Jun-11,123.93,123.93,123.22,123.67,1.59B
7-Jun-11,123.65,123.76,122.91,123.74,2.49B
8-Jun-11,123.73,123.73,122.72,123.21,1.97B
9-Jun-11,123.19,123.19,122.13,122.48,2.24B
10-Jun-11,122.53,122.83,121.16,121.41,1.45B
13-Jun-11,121.39,121.39,119.33,120.27,2.23B
14-Jun-11,120.21,121.03,119.61,121.01,1.77B
15-Jun-11,121.02,122.06,121.02,121.5,1.98B
16-Jun-11,121.48,121.48,119.11,119.91,2.42B
17-Jun-11,119.85,120.2,118.37,119.03,2.33B
20-Jun-11,119.05,120.03,118.77,119.21,1.62B
21-Jun-11,119.24,121.29,119.24,121.19,2.31B
22-Jun-11,121.22,121.99,121.22,121.88,2.22B
23-Jun-11,121.86,122.29,121.23,121.95,2.16B
24-Jun-11,121.95,123.36,121.92,123.14,2.35B
27-Jun-11,123.13,123.13,121.82,122.06,1.67B
28-Jun-11,122.07,122.8,122.07,122.56,2.22B
30-Jun-11,122.57,124.53,122.57,124.29,2.13B
1-Jul-11,124.27,126.55,124.27,125.4,1.95B
4-Jul-11,125.41,126.98,125.41,126.83,2.17B
5-Jul-11,126.81,126.81,125.13,125.8,2.61B
6-Jul-11,125.77,126.39,124.93,125.39,2.56B
7-Jul-11,125.4,126.41,125.36,126.26,1.83B
8-Jul-11,126.28,128.27,126.28,128.24,1.71B
11-Jul-11,128.19,128.19,126.94,127.7,2.06B
12-Jul-11,127.68,127.68,125.39,125.9,2.21B
13-Jul-11,125.92,127.52,125.91,127.51,3.45B
14-Jul-11,127.51,128.02,127.32,128.02,2.86B
15-Jul-11,128.03,128.91,127.81,128.87,2.07B
18-Jul-11,128.93,130.15,128.91,129.69,2.05B
19-Jul-11,129.68,129.68,128.81,129.65,3.33B
20-Jul-11,129.66,130.9,129.66,130.9,4.69B
21-Jul-11,130.9,131.38,130.73,131.17,5.07B
22-Jul-11,131.29,132.82,131.29,132.66,4.23B
25-Jul-11,132.52,132.52,131.47,132.03,4.11B
26-Jul-11,131.99,133.5,131.95,133.5,5.03B
27-Jul-11,133.49,134.78,133.18,134.77,4.44B
28-Jul-11,134.65,134.65,133.07,133.75,3.09B
29-Jul-11,133.81,134.15,131.79,132.69,3.11B
1-Aug-11,132.75,134.66,132.75,134.52,4.21B
2-Aug-11,134.46,134.46,132.45,133.43,3.45B
3-Aug-11,133.41,133.41,130.46,132.27,3.07B
4-Aug-11,132.28,133.35,131.49,132.42,3.17B
5-Aug-11,132.28,132.28,124.33,125.8,4.95B
8-Aug-11,125.75,125.75,119.97,123.69,4.55B
9-Aug-11,123.43,124.43,115.41,119.31,5.62B
10-Aug-11,119.36,124.46,119.36,124.01,4.03B
11-Aug-11,124,124.78,122.06,124.75,3.66B
12-Aug-11,124.7,126.61,124.5,125.09,3.04B
15-Aug-11,125.1,127.72,125.1,127.66,2.65B
16-Aug-11,127.66,129.01,126.95,127.31,4.11B
18-Aug-11,127.35,129.93,127.35,129.93,2.80B
19-Aug-11,129.85,129.85,123.1,123.5,2.86B
22-Aug-11,123.56,124.38,121.43,124.35,2.17B
23-Aug-11,124.38,125.58,123.66,125.44,2.49B
24-Aug-11,125.5,126.39,124.12,124.43,2.71B
25-Aug-11,124.45,125.76,123.76,124.16,2.32B
26-Aug-11,124.04,124.25,122.49,124.08,1.40B
5-Sep-11,124.14,126.48,124.08,124.99,1.47B
6-Sep-11,124.95,126.37,123.8,126.3,1.66B
7-Sep-11,126.34,129.99,126.34,129.93,2.79B
8-Sep-11,129.94,130.51,129.02,129.53,2.32B
9-Sep-11,129.47,130.53,129.18,129.46,2.03B
12-Sep-11,129.38,129.38,125.94,126.53,1.76B
13-Sep-11,126.53,127.69,125.25,125.79,2.19B
14-Sep-11,125.81,126.69,122.68,123.87,2.48B
15-Sep-11,123.89,124.86,120.89,122.47,1.78B
16-Sep-11,122.54,125.07,122.54,124.34,1.75B
19-Sep-11,124.27,124.27,121.62,122.17,1.48B
20-Sep-11,122.15,122.15,119.45,121.97,2.30B
21-Sep-11,121.96,122.08,119.99,120.25,1.61B
22-Sep-11,120.15,120.15,109.15,109.68,2.92B
23-Sep-11,109.57,111.04,105.71,110.96,2.20B
26-Sep-11,110.91,111.19,103.69,106.89,2.88B
27-Sep-11,106.92,112.43,106.92,112.05,2.55B
28-Sep-11,112.07,114.05,111.39,113.42,2.56B
29-Sep-11,113.4,115.05,111.94,114.6,1.35B
30-Sep-11,114.61,116.11,114.4,115.42,1.80B
3-Oct-11,115.36,115.36,108.09,108.7,1.84B
4-Oct-11,108.6,109.05,106.19,106.64,1.98B
5-Oct-11,106.64,108.03,106.45,107.07,1.59B
6-Oct-11,107.09,111.55,107.09,111.43,2.41B
7-Oct-11,111.46,113.73,110.58,110.99,2.43B
10-Oct-11,110.92,111.6,110.44,111.28,1.28B
11-Oct-11,111.32,114.86,111.32,113.91,3.51B
12-Oct-11,113.35,117.11,112.98,117.03,4.86B
13-Oct-11,117.07,119.61,117.07,118.55,4.96B
14-Oct-11,118.53,118.9,117.23,118.07,2.61B
17-Oct-11,118.11,120.48,118.11,120.44,5.55B
18-Oct-11,120.37,120.37,116.4,117.51,3.57B
19-Oct-11,117.55,119.83,117.55,119.57,3.72B
20-Oct-11,119.54,119.54,116.45,117.44,1.88B
21-Oct-11,117.44,118.01,116.39,117.15,2.03B
24-Oct-11,117.18,120.05,117.18,119.69,3.50B
25-Oct-11,119.68,120.58,119.6,120.03,2.15B
26-Oct-11,120.03,120.86,119.21,120.81,2.14B
27-Oct-11,120.87,123.24,120.87,123.23,3.83B
28-Oct-11,123.3,125.3,123.23,124.14,3.14B
31-Oct-11,124.19,124.22,121.76,122.66,2.56B
1-Nov-11,122.61,122.88,119.01,119.17,2.77B
2-Nov-11,119.12,121.81,117.31,121.76,3.55B
3-Nov-11,121.78,121.78,119.1,119.58,2.64B
4-Nov-11,119.62,122.52,119.62,121.92,2.16B
7-Nov-11,121.89,122.25,121.08,121.6,1.41B
8-Nov-11,121.63,122.49,121.63,122.45,1.46B
9-Nov-11,122.5,124.45,122.5,124.42,1.77B
10-Nov-11,124.37,124.37,120.74,121.88,1.67B
11-Nov-11,121.91,122.56,121.51,121.91,1.16B
14-Nov-11,121.94,124.02,121.94,124,2.27B
15-Nov-11,124,124.02,122.9,123.36,1.22B
16-Nov-11,123.36,123.58,122.06,123.57,1.61B
17-Nov-11,123.54,123.54,122.67,123.02,1.08B
18-Nov-11,123.01,123.01,121.83,122.14,913.03M
21-Nov-11,122.12,122.12,119.18,119.7,1.17B
22-Nov-11,119.69,121.54,119.19,121.51,1.30B
23-Nov-11,121.45,121.45,119.42,120.28,1.10B
24-Nov-11,120.24,120.63,119.23,120.59,1.02B
25-Nov-11,120.59,120.59,118.13,118.72,994.01M
28-Nov-11,118.76,119.75,118.22,118.93,997.51M
